Wall time,Step,Value
1708295272.8857248,1,0.713446319103241
1708295908.432398,2,0.7222994565963745
1708296546.398946,3,0.7115169763565063
1708297184.000168,4,0.7074745893478394
1708297822.6267953,5,0.7066977620124817
1708298465.3023727,6,0.7397598624229431
1708299107.609105,7,0.7099887132644653
1708299744.4136934,8,0.7236327528953552
1708300380.1606283,9,0.7170084714889526
1708300915.2112927,10,0.7216017246246338
1708301428.5927203,11,0.7698870301246643
1708301822.493344,12,0.7770141363143921
1708302120.3080955,13,0.7774406671524048
1708302417.7673252,14,0.7784943580627441
1708302716.5235188,15,0.7808361649513245
1708303012.6629164,16,0.7893276810646057
1708303310.9237347,17,0.7820960283279419
1708303607.5426545,18,0.7815056443214417
1708303905.6932993,19,0.7803502678871155
1708304202.0857422,20,0.7858107089996338
1708304499.828168,21,0.7877033948898315
1708304795.915787,22,0.7878078818321228
1708305092.6235843,23,0.7883728742599487
1708305386.9717453,24,0.7926299571990967
1708305683.1234648,25,0.7920113205909729
1708305977.423867,26,0.7922542095184326
1708306273.8921618,27,0.7921242713928223
1708306571.033559,28,0.7931751608848572
1708306866.3586714,29,0.79180508852005
1708307160.249661,30,0.7917599081993103
1708307454.816119,31,0.7921638488769531
1708307751.1083632,32,0.7920339107513428
1708308045.9077244,33,0.7910565137863159
1708308341.6070595,34,0.7907825112342834
1708308634.476415,35,0.791064977645874
1708308928.4762328,36,0.7910028100013733
1708309226.3639529,37,0.7914661169052124
1708309521.9306273,38,0.7922542095184326
1708309817.295747,39,0.792290985584259
1708310112.6203165,40,0.7924124002456665
